salv	`salves
see	see
olema	on
see	se
kirik	kirikku
ja	ja
seal	siall
e	e
kõrval	kõrval
olema	õl'i
siis	siis
see	see
Vene	vene
papp	papp
elama	elass
seal	sial
olema	õl'i
ahah	ahah
Vene	vene
papp	pappi
maja	maja
jah	jahh
nüüd	nüüd
olema	onn
seal	seal
ee	ee
nüüd	nüid
olema	onn
e	e
kooli+maja	*kool'i+maja
noo	noo
kooli+maja	kuol'i+majad
ka	kaa
mõlemad	mõlemad
jah	jahh
ja	jaa
siin	siin
kui	kui
olema	ol'ivad
maja	majad
siin	siin
olema	õl'i
savi+jalg	savi+jala
maja	majad
olema	õl'i
siin	siin
kõik	kõik
need	ne
olema	onn
ära	ära
põlema	põlend
mis	miss
siin+pool+ki	siin+bulgi
tee	`teede
või	või
maja	majasid
olema	õl'i
palju	`pal'ju
ikka	`ikke
aga	aga
no	no
kui	kui
need	ned
ära	ära
põlema	põlen
nüüd	nüid
ehitama	ehittakse
ikka	`ikke
uus	uuwed
ja	jaa
maja	majasid
olema	õl'i
palju	pal'lo
tee+äärne	tee+äärsed
kahelt+poolt	kahelt+polt
tee	teed
olema	õl'id
maja	majad
täis	täis
nemad	nad
nii	nii
ilus	ilusad
või	või
tore	toredad
ei	eij
olema	ol'nud
või	vai
noh	nohh
nagu	nagu
nüüd	nüid
tegema	tehasse
aga	aga
aga	aga
ikka	`ikke
olema	õl'i
ikka	`ikke
palju	pal'ju
ilus	ilusam
kui	kui
nüüd	nüid
nüüd	nüid
olema	onn
vana	vana
kiosk	`kiuksid
ja	ja
nii+sugune	niisuksed
panema	pannasse
tee	tie
äärde	`iäre
aga	aga
siis	siis
olema	õl'id
kõik	kõik
ilus	ilusad
maja	majad
ajal	ajal
olema	on
ka	ka
kiosk	`kiuksid
jah	jahh
e	e
niske	niskesed
putka	put'kad
no	no
kas	kas
see	se
olema	onn
siis	sis
jah	jahh
aga	a
siis	sis
olema	õl'id
maja	majad
kõik	kõik
kõik	`kõigil
olema	õl'id
ilus	ilusad
maja	majad
väli	väl'jal
võte	`võtted
ja	ja
kõik	kõik
järsku	`järsku
olema	õl'i
kaks	kahel
poole	poole
rida+maja	rida+majad
aga	aga
nemad	nad
põlema	põlesivad
kõik	kõik
ära	ära
jah	jahh
järve+mees	järve+mehed
olema	ol'ivad
Vene	vene
rahvas	rahvas
olema	õl'id
kõik	kõik
järve+mees	järve+mehed
ja	ja
mina	minu
isa	isa
olema	õl'i
ka	koa
järve+mees	järve+mees
ja	ja
meie	meije
elama	elasime
nii	nii
uhkesti	`uhkesti
ja	ja
hästi	east
kui	ku
kala	kalu
olema	oli
meie	meil
nii	nii
palju	pal'ju
olema	oli
kala	kalu
et	et
talv	`talve
ajal	ajal
e	e
suur	suured
noot	nodad
olema	õl'id
ja	ja
need	neid
võrk	`võrkkusid
ja	ja
need	neid
olema	õl'i
kõik	kõik
ilm	ilm
täis	täis
ja	ja
jõgi	jõed
olema	õl'id
kõik	kõik
e	e
nii	nii
palju	pal'ju
olema	õl'id
saan	saan'id
niske	`nesked
järv	järvä
saan	saan'id
olema	õl'id
e	e
no	no
siis	siss
need	neid
e	e
panema	`pan'tti
jõgi	jõe
peale	`piäle
need	neid
kala	kalu
külmutama	kül'mettät'ti
need	ned
olema	on
nii	ni
suur	suured
kõik	kõik
sudak	sudakkad
ja	ja
havi	aavid
ja	ja
kõige	kõige
parem	paremad
suur	suured
kala	kaalad
mis	miss
nüüd	nüid
olema	põle
nägema+ki	näüntki
need	neid
panema	`pan'tti
jõgi	jõgi
täis	täis
ja	ja
siis	sis
külmutama	kül'mettät'ti
ja	ja
jälle	jälle
vedama	`veet'tii
välja	`väl'ja
kaup+mees	`kaup+med
jälle	`jälle
viima	veid
ja	ja
ostma	`os'tsid
ära	ära
ja	ja
mina	minu
isa	isa
olema	õl'i
ka	koa
järve+mees	järve+mees
suvi	suvel
tegema	tegime
ikka	`ikke
e	e
see	seda
