käsi	kääs
ja	ja
miks	miks
ei	ei
ee	ee
noh	nohh
tema	tema
elama	elas
kah	kahh
ikka	ikke
rohkem	`rohkem
olema	ol'i
kirjanik	kirjanik
ja	ja
tema	tema
elama	elab
siin	sin
kruusa+auk	kruusa+augu
taga	taga
olema	onn
talu	talu
olema	ol'i
nemad	neil
talu	talu
nimi	nimi
olema	ol'i
Saare	*Saare
Saare	*Saare
Uubel	`Uubel
tema	tall
teine	teene
vend	vend
pidama	pidas
koht	`kohta
ja	ja
tema	tema
käima	käis
siis	siss
kool	kool'is
noorelt	noorelt
ja	ja
pärast	pärast
tema	ta
olema	ol'i
kirjanik	kirjanik
no	no
või	võe
mina	mina
enam	änam
läbi	läbi
tema	taga
käima	käesin
nii+palju	ni+ba
et	t
tere	tere
ja	ja
ja	ja
jumalaga	jumalaga
ja	ja
minema	läks
minema	minema
ei	ei
käima	käenud
tema	tema
käima	käis
Orge	`Orgel
ja	ja
mina	mina
käima	käesin
Õvi	Õvil
tema	tema
pärast	pärast
olema	ol'i
linn	linnas
siis	siss
mina	ma
seal	säl
olema	ol'in
koos	koos
tema	taga
seal	säl
Tartu	`Tarttus
ikka	ikke
ja	ja
palju	`pal'lu
suur	suurem
kool	kool'
olema	ol'i
noh	nohh
ei	ei
siin	siin
Õvi	Õvil
mina	mina
olema	ol'in
Õvi	Õvil
tema	tema
olema	ol'i
Orge	`Orgel
ikka	ikke
aga	aga
teine	teene
vend	vend
olema	ol'i
vana	vanem
vend	vend
olema	ol'i
see	se
olema	onn
ka	ka
nüüd	nüid
surema	`surnud
surema	suri
ära	ära
minev+aasta	minev+`aasta
jah	jahh
minev	mineva
enne	`enne
jõulud	`jõulu
või	võe
peale	`pääle
jõulud	`jõulu
ei	i
mäletama	mäletta
hästi	`äste
mina	ma
käima	käesin
seal	sääl
metsa+vaht	metsa+vahi
pool	pool
ja	ja
nii	nii
enne	enne
üks	üks
nädal	nädal
ei	eij
olema	olnud
keegi	kedagi
teine	teene
nädal	nädal
tema	ta
ütlema	tles
et	et
Uubel	`Uubel
surema	`surnud
mina	ma
ütlema	tsi
kunas	kuna
tema	ta
surema	suri
et	t
meie	me
olema	ol'ime
ju	ju
koos	koos
tema	taga
vot	vott
täna	täna
tegema	tegi
tuli	tule
alla	alla
pliit	pliidi
alla	`alla
ja	ja
tulema	tullu
üles	üless
sööma	söönu
ja	ja
tükk	tükki
aeg	aa
pärast	pärast
viskama	visanu
vedru	vedru
välja	`väl'lä
olema	ol'i
surema	`surnud
vana	vanem
see	se
olema	ol'i
mina	minu
vanune	`vannu
tema	ta
olema	ol'i
vana	vanem
mina	minust
veel	viil
mina	mina
olema	olen
muidugi	mudugi
kaheksa+kümmend+kuus	kahessa+gümmend+kuus
nüüd	nüd
aga	aga
noh	nohh
tema	tema
olema	ol'i
nii	ni
pool	pool
aasta	`aastad
vana	vanem
vana	vanem
vend	vend
jah	jahh
olema	olen
täis	täis
nüüd	nüid
saama	*saanu
elama	elasid
mina	minu
nähtavil	`nähtavil
tema	tall
teine	teene
vend	vend
elama	elas
veel	vel
kõige	kõege
vana	vanem
vend	vend
siis	siss
see	se
teine	teene
päris	päris
surema	surri
ära	ära
olema	ol'i
poiss+mees	poiss+miis
ja	ja
siis	siss
jääma	jäi
koht	koht
see	selle
teine	teise
vend	venna
kätte	`kätte
ja	ja
siis	siss
elama	elasivad
pähle	`pähle
teine	teene
vend	vend
jälle	jälle
hakkama	akkas
jooma	`juuma
ja	ja
jooma	jõi
tegema	tegi
võlg	`võlga
aga	a
siis	siss
pärast	pärast
jälle	jälle
siin	sin
Soe+maa	Soea+ma
Jaan	Jaan'
või	või
see	sii
kaveerima	ka`veeris
tema	ta
eest	iist
siis	s
jääma	jäi
talu	talu
tema	temale
nii	nii
oma+vahel	oma+vahel
ega	ega
seal	säl
ei	eij
olema	olnud
oksjon	`oksjoni
ei	ei
miski	midagi
ega	ega
siis	s
Soe+maa	Soe+ma
Jaan	Jaan'
ka	ka
väga	väga
ammu	`ammu
ei	eij
olema	ole
vahest	vahest
aasta	`aastad
viis+teist	viis+teist
või	või
või	või
või	või
enam	änam
või	või
mäletama	mäletta
ju	ju
enam	änam
olema	ol'i
küll	küll
lahke	`lahked
mees	mehed
kõik	kõik
olema	ol'ivad
ikka	`ikke
nii	nii
kui	kui
kokku	`kokku
tulema	tul'i
vastu	`vasta
ikka	ikke
teretama	terettas
ja	ja
pikk	`pikka
jutt	`juttu
nüüd	nd
iga	egä
kord	kõrd
ei	ei
ajama	aanud
kus	kus
see	sii
olema	ol'i
Sööt	Sööt
ei	ei
teadma	tia
mina	ma
see	sest
miski	midagi
jah	jahh
eks	eks
need	neid
olema	ole
igat+pidi	iga+pidi
jah	jahh
noh	nohh
iga+üks	iga+öhel
oma	omad
häda	ädad
noh	nohh
kasv	kasu
võtma	võtta
kasv	kasud
üles	ülesse
ja	ja
raiuma	raijutse
maha	maha
kus	koss
olema	onn
teadma	tiat
kus	koss
olema	onn
sealt	säält
saama	saad
need	neid
pidama	piab
teadma	`tiada
olema	olema
kõik	kõik
ega	ega
siis	ss
muidu	muidu
ei	ei
saama	saa
miski	midagi
noh	nohh
painutama	paenutse
loog+vits	loog+vits
ja	ja
tegema	tihasse
kaks	`kahte
moodi	`muudu
tegema	tihasse
püst+korv	püs't+`korvi
ja	ja
ja	ja
nõnda	nõnna
võru	võrudega
korv	korv
või	võe
sang	sang
peal	pääl
ja	ja
ühe+sugune	öhe+sugused
mõlemad	mõlemad
üks	üks
tahtma	tahab
need	neid
püst+korv	püs't+`korva
teine	teene
tahtma	tahab
jälle	`jälle
need	neid
look	`lookkadega
kuidas	kuda
keegi	`kiagi
olema	onn
harinema	arinend
ja	ja
mõni	mõni
tahtma	tahab
veel	vel
plekk	plekk
vits	`vitstest
või	või
laua+kene	lauwakkestest
tegema	`tehtud
nelja+kandiline	nel'la+kan'dilesed
olema	onn
mõni	mõn'i
pruukima	pruugib
jälle	jälle
need	neid
mina	mina
olema	olen
tegema	tehnud
need	neid
palju	pal'lu
kohe	kuhe
et	et
ega	ega
korv	`korvidega
teenima	teenib
rohkem	`rohkem
kui	kui
üks	öhe
teine	teese
asi	as'jaga
kuidas	kuda
keegi	`kiagi
teenisk	teen'isk
olema	onn
noh	nohh
regi	regi
enne	`enne
maksma	`maksis
küll	küll
kui	kui
tegema	tegid
regi	rege
mina	ma
olema	olen
tegema	tehnud
regi	regesid
enne	`enne
kui	ku
olema	ol'lin
isa	isa
juures	juures
siis	s
muidugi	muidugi
ka	kaa
rentima	`ren'ttisin
isa	isa
käest	kääst
veski	`ves'ki
ja	ja
olema	ol'lin
siis	siss
tegema	tegin
regi	regesid
nagu	nigu
vagane	vagane
olema	onn
ja	ja
ei	ei
mina	mull
tuulik	tuulik
olema	onn
seal	säl
isa	isal
olema	ol'i
jah	jahh
ja	ja
pärast	pärast
siis	siss
rentima	`ren'ttis
koht	kuha
kah	kahh
mina	mulle
mina	mull
olema	ol'i
naine	naene
võtma	`võt'sin
naine	naene
ja	ja
olema	`ol'lin
kolm+kümmend+seitse	kolm+gümmend+seitse
aasta	`aastad
vana	vana
kui	kui
naine	naene
võtma	`võt'sin
ja	ja
nüüd	nüid
olema	olen
jo	joo
üle	üle
neli+kümmend	nel'lä+`gümne
aasta	`aasta
lesk	lesk
jah	jahh
olema	ol'i
siit	siit
Kikkuri	`Kikkurilt
või	või
siit	siit
Äksi	Äksi
ligidalt	ligidalt
surema	surri
ära	ära
lapse+voodi	lapse+`voodi
olema	ol'i
laps	laps
ja	ja
tund	`tun'di
kaks	kaks
kolm	kolm
elama	elas
peale	pääle
see	selle
ja	ja
surema	`surri
ära	ära
üks	üks
tütar	tüttar
jääma	jäi
järele	järele
lapse+voodi	lapse+`voodi
tema	ta
surema+ki	surrigi
jah	jahh
noh	nohh
iga+üks	iga+öhele
kus	koss
keegi	`kiagi
käima	käis
ja	ja
nii+palju	nii+`bal'lu
kui	ku
mina	ma
tegema	tiha
jõudma	`jõutsin
jah	jahh
vahel	vahel
kui	kui
olema	ol'i
veel	viil
vähem	vähäm
siis	siss
saama	sai
võtma	`võtta
nii	nii
rukis	`rukkid
ostma	`osta
kust	kost
mõis	`mõisast
Vasula	Vasula
mõis	mõisast
saama	sai
ikka	ikke
tooma	`tuuwa
või	võe
seal	sääl
andma	`an'dis
linn	linna
hind	innaga
sada	sada
puud	`puutta
korraga	kõrraga
saama	sai
tooma	`tuuwa
ja	ja
vahel	vahel
rohkem	`rohkem
vahel	vahel
vähem	vähäm
ja	ja
siis	siss
saama	sai
need	neid
ka	ka
jahvatama	jahvattatta
kui	kui
aeg	`aega
olema	ol'li
või	või
nõnda	nõnda
olema	ol'i
aeg	`aega
ei	eij
olema	olnud
seisma	`seisis
nii+sama	nii+sama
mis	miss
jahu	jahu
panema	pan'in
jälle	jälle
peale	`pääle
ja	ja
isa	isal
olema	ol'id
hobune	obesed
hobune	obuse
ja	ja
viima	viisin
linn	`linna
kümme	kümme
vakk	`vakka
kui	kui
nii	nii
kodu	kodust
ei	ei
saama	saanud
müüma	`müija
viima	viisin
turg	turule
ja	ja
müüma	müisin
ära	ära
no	no
hea	ia
rukis	`rukki
iga+üks	egä+üks
kes	kiss
olema	ol'i
ostma	`ostnud
see	sii
võtma	`võt'tis
üks	öhe
kord	kõrraga
ära	ära
jah	jahh
eks	eks
iga+üks	egä+öhel
olema	ole
oma	oma
häda	ädad
