mis+sugune	miss+`muod'i
ega	ega
mina+ki	`maagi
teadma	tia
nüüd	nüid
ütlema	`üelda
ega	ega
mina	maa
see	sess
haigus	`aiguses
olema	ole
olema	old
äkitselt	äkkitselt
tulema	tuleb
jah	jahh
see	se
jooksma	`juoksva
haigus	`aigus
jälle	`jälle
ja	ja
vanuse+haigus	vanuse+`aigus
mina	minul
vist	vist
enam	enamb
keegi	kedagi
muu	muud
haigus	`aigust
olema	ole
vanus	vanus
võtma	võttab
kõik	kõik
võim	võimu
ja	ja
ühe+korraga	üe+gorra
olema	onn
hing	ing
kinni	`kin'ni
ja	ja
mis	mis
tema	ta
nüüd+ki	`nüitki
muud+kui	muut+kui
hing	i~nge
peale	`piale
täitma	täidab
aga	aga
jah	jahh
enam	enamb
nii	nii
hea	ia
olema	ole
olema	`olla
eks	eks
rohitama	rohittettud
ikke	`ikke
ka	koa
sibul	sibulad
ja	ja
ja	ja
see	seda
püssi+rohi	püs'si+`rohtu
võtma	võetti
see	see
olema	on
ütlema	`üeldi
rabadus	rabadus
jälle	`jälle
mis	miss
olema	ol'i
jah	jahh
see	sie
mis	miss
püssi+rohi	püs'si+`rohtu
tarvitama	tarvittas
ajama	aas
külmetama	kül'mettama
ajama	aas
lõdisema	lõd'isema
kangesti	`kangest
ja	ja
siis	sis
mina	ma
teadma	tian
ise+ki	isegi
mina	minu
isa	isa
olema	ol'i
viin	viina
peal	pial
ja	ja
see	sie
viin	viin
viin	viin
olema	ol'i
estist	`es'tist
magus	magus
küll	küll
aga	aga
teine	teine
hommikul	ommikku
olema	ol'i
tema	ta
paha	paha
siis	siis
tahtma	`tahtis
püssi+rohi	püs'si+`rohtu
lõnga+õli	lõ~nga+el'i
veel	viel
et	et
tema	ta
nimi	nimi
ema	ema
nimi	nimi
olema	ol'i
Madli	Mad'li
ütlema	üts
Madli	Mad'li
tooma	tuo
mina	`mulle
nüüd	nüid
Madli	Mad'li
ema	ema
ütlema	`ütles
et	et
kes	kes
käskima	käs'ib
sina	sind
viin	`viina
kuukima	`kuukkida
vaatama	voatta
pealt	pialt
selle	selle
olema	onn
sina	sull
jälle	jälle
valu	valu
jah	jahh
see	see
olema	ol'i
rabadus	rabadus
jah	jahh
teine	teine
päev	pää
olema	ol'i
kohe	kohe
ajama	aas
külmetama	kül'mettama
inimene	in'imese
ja	ja
see	seda
mina	ma
nägema	nägin
oma	oma
silm	silmaga
püssi+rohi	püs'si+`rohtu
võtma	`võet'ti
sisse	`sisse
jah	jahh
võtma	`võet'ti
ka	koa
